NANDINA;PESO;VALOR CIF;VALOR FOB;GRAVAMEN
8429590000;4967766;22339758;20826760;0
8712000000;4939416;7531455;6964536;5114292
2606000000;4931620;383471;59259;0
1005902000;4931492;2575960;2412412;1076296
2004100000;4887760;5397878;4743905;1618886
3902300000;4861670;6724029;6218742;23572
1904900000;4827825;4796601;4169701;2695805
7208379000;4791645;2735472;2452002;32819
4803009000;4749025;6585012;5818517;238934
7312109000;4747913;5956878;5493231;1289730
8428600000;4736081;87316549;83544978;0
3207201000;4708490;3077223;2780056;309030
714209000;4706114;214598;200447;149401
3808921900;4687410;44975250;43767609;14416072
4012200000;4602266;5141031;4169293;3578897
402911000;4591325;6324647;6053158;346483
3209100000;4559810;6604720;6067780;151953
8429110000;4552207;20390735;19337710;0
3808949900;4521709;3621178;3367737;478107
8429400000;4504625;27287172;26125623;0
7317000000;4485003;3917311;3679976;505152
1902190000;4428408;5020199;4648129;433594
7208389000;4410740;2473411;2204916;24856
1704909000;4387649;4565274;3939457;3182721
2208400000;4371902;7868609;7327443;10175253
2836500000;4370129;1269325;878837;191735
2839190000;4335204;2372623;1913755;164638
4810920000;4319249;4713509;4322254;2437641
3306100000;4293425;8585817;7786637;757261
3401191000;4222638;5866476;5569872;1196582
8716390000;4214343;8154860;7531092;1656860
8430490000;4202958;37451715;35643313;0
6910100000;4139414;5807631;5327543;1449192
3926909000;4104837;16872268;15302202;8700636
3924900000;4080642;10382103;9615746;2596847
1901109900;4055597;11732925;11196767;112394
2930400000;3950655;10761407;10368779;7489944
6907230090;3934641;1448564;1152358;727832
3824400000;3869476;4132050;3608451;1584693
7013490000;3867682;3865860;3521562;1658734
8408209000;3843894;6060758;5673519;4187235
7606129000;3841283;10658477;9872760;3644076
8703231019;3835645;46095895;44285390;31588787
8428109000;3772365;14318323;13218578;3821396
2712200000;3770788;1886239;1529698;1312828
2847000000;3749602;2621082;1791765;54050
9503002200;3724533;7284267;6310221;5056970
7208529000;3721099;2064616;1892959;502793
7318159000;3708744;7676912;7052829;4135247
2106902900;3708544;69063827;67420982;3265423
7326909000;3702903;13424298;12476759;5936601
5903100000;3695971;5183491;4757316;3354147
3401110000;3694821;7267160;6763600;754867
7214912000;3683331;2525400;2412777;152652
3305900000;3628700;11156015;10532618;2602829
2833250000;3602744;6814288;6243359;921499
8703210000;3599119;25276081;24314374;17288944
5506300000;3596563;9580504;9420475;106
9505900000;3592173;5880292;5328972;3088644
3819000000;3551759;6755016;6127323;3854387
8431490000;3547175;17269748;16324146;10172997
4411920000;3528888;1990877;1713869;879289
7313001000;3500209;4040722;3916636;119213
3402909900;3484417;7490839;6960866;2303482
3817001000;3482350;5099798;4596966;0
2714900000;3465314;1522945;1118149;785305
3307200000;3430291;19017815;18332342;1129145
6402200000;3429325;13062656;12623895;8521688
8708701000;3422063;4594684;4071210;3132510
2922410000;3407041;4540863;4142460;1017089
4810290000;3403831;3229743;2833689;922484
5515110000;3399956;6046360;5841907;3983604
7010902000;3357076;2196221;1857132;168410
7304230000;3354392;9949867;9299199;4747478
4818100000;3344378;6054431;5282487;2474425
3506910000;3329787;8124562;7642431;831525
7009910000;3306023;1633389;1239901;805332
8704319000;3296074;26213256;24830573;17104941
7214999000;3289481;2094497;2020035;40048
7208371000;3279300;1880411;1678785;0
8429200000;3270408;27123035;25951812;0
2106909000;3267424;18800314;17998958;3387834
3921909000;3254537;7102556;6534256;2479922
2103902000;3250822;10781691;10298930;272596
1604200000;3250067;3539968;3257322;1227294
7210120000;3245160;3063996;2696366;855175
9503001000;3233188;4823815;4309246;3258916
7604102000;3228348;6089129;5609877;4217095
2523100000;3207843;226741;196480;566
3920209000;3204525;9560136;9075183;671267
5209420000;3187453;8459504;8189926;2736485
8523410000;3179470;4884633;4508443;3399740
2007999200;3161868;2944585;2508077;2329358
7306500000;3147832;3927268;3364964;2540376
9403600000;3122332;4095581;3812019;1725124
3206110000;3116807;8143339;7691407;4916509
1202420000;3110940;1262649;1196052;0
9401800000;3108062;8019978;7444661;3768239
806100000;3105705;637905;583837;608031
2710193600;3102442;5503724;5095612;1311499
8406810000;3083755;44882098;42198327;0
3102909000;3078521;1725324;1545290;0
8541401000;3070654;17458247;16860029;0
4011209000;3068140;8940857;8447644;4162671
2005800000;3067648;2175154;2073749;240314
4411120000;3061722;1476546;1234446;326308
1704109000;3057002;7199388;6707583;1509670
1902110000;3029199;1657854;1573255;10330
808300000;3027837;1598713;1422213;270414
3925900000;3026938;5416838;4796043;2649077
7614900000;3026880;6294967;5880974;4056916
7214919000;3006998;1923053;1807031;133355
6810190000;3002694;933194;740070;187389
7208391000;2991736;1794668;1595973;21947
7208530000;2951824;1545195;1407817;536196
1511900000;2945047;3507301;3296693;0
7311009000;2932934;8796877;8174216;525882
7216610000;2919722;4888111;4492329;3250694
7207200000;2908783;1545925;1264969;27
9619002010;2878004;11390115;10751436;297361
3923509000;2871244;11980256;11000195;1282881
3918101000;2857579;2231267;1894691;1111330
3923900000;2855133;9218384;8119841;3402197
7209260000;2843094;1733566;1560845;603259
8418500000;2841833;14886465;13414692;2016346
8544491000;2840012;14296057;13956522;1381262
3402119000;2831403;3987929;3663308;664252
1905909000;2827892;5154343;4600914;1113882
7216330000;2824426;1849391;1550536;1263456
3824999900;2816434;8381077;7801251;3413867
8504219000;2811588;10074057;9639734;527411
7323931000;2811321;5384268;5087987;2755960
8432210000;2794198;8675632;7997495;0
6907220010;2783249;786423;613692;266995
7216990000;2761533;1659873;1364128;1142024
3919100000;2757770;4764410;4382500;3021894
7306190000;2748374;1555241;1398480;905017
6907300010;2745187;509679;338290;352996
3214101000;2744729;3308931;2986357;1343768
7208381000;2742360;1568779;1401442;0
3904220000;2741928;3417375;3204597;96524
