NANDINA;PESO;VALOR CIF;VALOR FOB;GRAVAMEN
7210701000;29657654;23155349;20640253;8058095
6907210090;27320061;6842308;4377009;7143399
3907619000;18816099;22383220;20537988;0
4011201000;18056920;39167007;36595873;27260503
7210610000;16391556;11645106;10304621;8105007
7210490000;15783485;11827414;10557706;8231904
3402200000;15683648;10416482;8666030;7249896
7005211100;13514169;4674834;3377052;3253710
8702902000;12520346;64018150;57207869;44556698
7225400000;12517509;7865308;7112638;2737128
6006320000;12128491;20177701;19402417;14039504
7005299000;11823725;4130854;2872796;2875079
6907210010;11319660;2700238;1760998;1879388
2833110000;11233449;2087984;1104643;1453237
7005291000;10818296;3612148;2570656;2514070
7210709000;10631324;8161461;7165127;2840193
7308200000;10330116;15234304;13549436;10603075
7209160000;10113182;6630160;5982982;2307294
7209170000;9981273;6679651;6015810;2324517
3808939900;9959537;24071010;22366435;16753448
7326110000;9627363;10636842;9690581;7385078
6912000000;9505636;7001372;6317207;4873720
8703229000;9232144;54416150;49075538;37874037
4011101000;9221498;21650433;19468376;15069144
7306309900;8782426;7037408;6325324;4898057
8711200000;8720698;34546123;32303176;24046981
7210300000;8607973;6627333;6043348;2306315
7227900000;8534602;4903775;4318358;1706516
7209270000;7691084;5109407;4606596;1778080
6907400090;7108144;1817943;1170146;1897933
2835250000;6840763;2648257;2034066;921597
7216500000;6833644;4515278;4016526;3142637
7005100000;6385568;2445132;1824984;2552735
9619001010;6373026;8232651;6805094;5729942
8501640000;6318521;25254354;23670730;24149
3808931900;6214966;24958628;23786863;17371229
3903110000;6206103;8672896;7797920;6036339
7306190000;5851264;7338490;6501929;5107593
7614900000;5726912;13780351;13043824;9591124
5407520000;5397508;8538586;8214987;5942966
4411130000;5250243;2470518;1877275;1719498
9503009900;5228294;12505670;11145386;8706487
7303000000;4981807;4585416;3677715;3191460
5515110000;4734721;6523814;6275828;4540658
8502310000;4394741;15502554;14487332;0
7210410000;4327347;2908784;2544856;2024552
7005219000;4222020;1543220;1125319;1074086
