productos;kilos;valor
BICICLETAS Y DEMAS VELOCIPEDOS (INCLUIDOS LOS TRICICLOS DE REPARTO) SIN MOTOR;4824911;45608286
LOS DEMAS INSECTICIDAS PRESENTADOS EN FORMAS O EN ENVASES PARA LA VENTA AL POR MENOR O EN ARTICULOS;4824574;219287085
LOS DEMAS VEHICULOS AUTOMOVILES DE CILINDRADA SUPERIOR A 1.000 CM3 PERO INFERIOR O IGUAL A 1.500 CM3;4711296;192893231
"LOS DEMAS TUBOS DE ENTUBACION (""EASING"") O DE PRODUCCION (""TUBING"") Y TUBOS DE PERFORACION,SIN SOLDADURA,DEL TIPO DE LOS UTILIZADOS PARA LA EXTRACCION DE PETROLEO O GAS";4501948;30886638
LOS DEMAS  RECIPIENTES PARA BEBER , EXCEPTO LOS DE VIRECERAMICA;4399347;14816102
LOS DEMAS PAPEL Y CARTON DE LOS TIPOS UTILIZADOS PARA ESCRIBIR, IMPRIMIR U OTROS FINES GRAFICOS, SIN FIBRAS OBTENIDAS POR PROCEDIMIENTO MECANICO O QUIMICO-MECANICO O CON UN CONTENIDO TOTAL DE ESTAS FI;4278696;22096652
LOS DEMAS VIDRIOS SIN ARMAR,COLOREADOS EN LA MASA,OPACIFICADOS,CHAPADOS O SIMPLEMENTE DESBASTADOS;4180980;9939341
LOS DEMAS PRODUCTOS LAMINADOS PLANOS DE HIERRO O ACERO SIN ALEAR,PINTADOS,BARNIZADOS O REVESTIDOS DE PLASTICO;4149568;22913640
CONTENEDORES(INCLUIDOS LOS CONTENEDORES CISTERNA Y LOS CONTENEDORES DEPOSITO) ESPECIALMENTE CONCEBIDOS Y EQUIPADOS PARA UNO O VARIOS MEDIOS DE TRANSPORTE;4050599;46062569
PRODUCTOS LAMINADOS PLANOS DE HIERRO O DE ACERO SIN ALEAR,ONDULADOS,CINCADOS DE OTRO MODO;3984261;18663749
LOS DEMAS VEHICULOS AUTOMOVILES PARA TRANSPORTE DE MERCANCIAS, CON MOTOR DE EMBOLO DE ENCENDIDO POR CHISPA, DE PESO TOTAL CON CARGA INFERIOR O IGUAL A 4,537 T;3831507;132740896
MUÑECAS O MUÑECOS, INCLUSO VESTIDOS;3671356;48721010
TELAS IMPREGNADAS RECUBIERTAS,REVESTIDAS O ESTRATIFICADAS CON POLICLORURO DE VINILO,(EXCEPTO LAS DE LA PARTIDA No 59.02);3444623;32387163
LAS DEMAS CONSTRUCCIONES PREFABRICADAS;3406771;52005491
PARAFINA CON UN CONTENIDO DE ACEITE INFERIOR Al 0.75% EN PESO;3403792;11975451
LOS DEMAS PRODUCTOS LAMINADOS PLANOS DE HIERRO O ACERO  ENROLLADOS, SIMPLEMENTOS LAMINADOS EN CALIENTE;3390154;11934001
LOS DEMAS TEJIDOS DE FIBRAS SINTETICAS DISCONTINUAS DE POLIESTER MEZCLADOS EXCLUSIVA O PRINCIPALMENTE CON FIBRAS DISCONTINUAS DE RAYON VISCOSA;3264536;37357100
PERFILES,INCLUSO HUECOS DE ALUMINIO SIN ALEAR;3187856;41596497
"TRICICLOS, PATINETES, COCHES DE PEDAL Y JUGUETES SIMILARES CON RUEDAS; COCHES Y SILLAS DE RUEDAS PARA MUÑECAS O MUÑECOS";3136790;31588116
DISPOSITIVOS SEMICONDUCTORES FOTOSENSIBLES: CELULAS FOTOVOLTICAS,AUNQUE ESTEN ENSAMBLADAS EN MODULOS O PANELES;3061286;120601815
PAÑALES PARA BEBES DE PASTA DE PAPEL, PAPEL, GUATA DE CELULOSA O NAPA DE FIBRAS DE CELULOSA;2987256;27248171
LOS DEMAS PRODUCTOS LAMINADOS DE HIERRO O ACERO SIN ALEAR,SIN ENRROLLAR,SIMPLEMENTE LAMINADOS EN CALIENTE, DE ESPESOR SUPERIOR O IGUAL A 3 mm PERO INFERIOR A 4,75 mm;2950396;10693621
TABLEROS DE FIBRA DE DENSIDAD MEDIA (LLAMADOS®MDF¯)   DE ESPESOR SUPERIOR A 5 MM PERO INFERIOR O IGUAL A 9 MM;2889386;10206930
PRODUCTOS LAMINADOS PLANOS DE HIERRO O ACERO SIN ALEAR,SIN ENRROLLAR,SIMPLEMENTE LAMINADOS EN FRIO,DE ESPESOR SUPERIOR A 1mm PERO INFERIOR A 3 mm;2815777;11910073
LOS DEMAS PRODUCTOS LAMINADOS DE HIERRO O ACERO SIN ALEAR,SIN ENRROLLAR,SIMPLEMENTE LAMINADOS EN CALIENTE DE ESPESOR SUPERIOR O IGUAL A 4.75 mm PERO INFERIOR O IGUAL A 10 mm;2737450;9811726
