productos;kilos;valor
LOS DEMAS AGENTES DE SUPERFICIE ORGANICOS, INCLUSO ACONDICIONADOS PARA LA VENTA AL POR MENOR;222821;1789637
LOS DEMAS TUBOS Y PERFILES HUECOS DE SECCION CIRCULAR,DE HIERRO O ACERO SIN ALEAR;222279;1181144
LOS DEMAS ELECTRODOS;221529;2771365
LAS DEMAS PLACAS,LAMINAS,HOJAS Y TIRAS DE LOS DEMAS PLASTICOS,NO CELULAR Y SIN REFUERZO,ESTRATIFICACION NI SOPORTE;220904;3045049
LOS DEMAS REVESTIMIENTOS DE PLASTICO PARA PAREDES O TECHOS;220125;1651848
LOS DEMAS CONDUCTORES ELECTRICOS DE COBRE PARA TENSION INFERIOR O IGUAL A 80 V;219752;5129476
LOS DEMAS ETERES DE CELULOSA;219715;6159070
MAQUINAS EN LAS QUE LA FUNCION DE FOTOCOPIA SEA POR PROCEDIMIENTO ELECTROSTATICO DIRECTO  (REPRODUCCION DIRECTA DEL ORIGINAL) O POR PROCEDIMIENTO ELECTROSTATICO INDIRECTO (REPRODUCCIÓN  DE;218842;11882617
PREPARACIONES Y CONSERVAS DE CABALLAS ENTERO O EN TROZOS,EXCEPTO EL PICADO;218145;910253
PUERTAS,VENTANAS Y SUS MARCOS,BASTIDORES Y UMBRALES DE FUNDICION,HIERRO O ACERO;217945;3292841
SULFATO DE CINC;217595;1347349
TABLEROS DE FIBRA DE DENSIDAD MEDIA (LLAMADOS®MDF¯)   DE ESPESOR INFERIOR O IGUAL A 5 MM;217518;1480460
PERFORADORAS O GRAPADORAS;217225;5334205
LOS DEMAS ARTICULOS PARA FUEGOS ARTIFICIALES,COHETES DE SEÑALES O GRANIFUGOS Y SIMILARES,PETARDOS Y DEMAS ARTICULOS DE PIROTECNIA;217120;3223748
LOS DEMAS MARMOL,TRAVERTINOS Y ALABASTRO;217040;593486
LOS DEMAS  PAPELES  DE PESO SUPERIOR O IGUAL A 40 G/M2 PERO INFERIOR O IGUAL A 150 G/M2, EN BOBINAS (ROLLOS);216824;916160
LOS DEMAS CALZADOS CON LA PARTE SUPERIOR DE MATERIA TEXTIL;216464;5188310
CARBUROS DE CALCIO,AUNQUE NO SEAN DE CONSTITUCION QUIMICA DEFINIDA;215325;1030985
RECIPIENTES PARA GAS COMPRIMIDO O LICUADO DE FUNDICION,HIERRO O ACERO SIN SOLDADURA;214932;1974548
ESCALERAS MECANICAS Y PASILLOS MOVILES;213953;5557446
LAS DEMAS MUELAS Y ARTICULOS SIMILARES DE LOS DEMAS ABRASIVOS AGLOMERADOS O DE CERAMICA;212240;3259870
"LAS DEMAS BOMBAS DE AIRE O DE VACIO,COMPRESORES DE AIRE U OTROS GASES Y VENTILADORES;CAMPANAS ASPIRANTES PARA EXTRACCION O RECICLADO,CON VENTILADOR INCORPORADO,INCL.CON FILTRO";211838;4158708
LOS DEMAS APARATOS RECEPTORES DE RADIODIFUSION;210806;4696627
LAS DEMAS CINTAS DE FIBRAS SINTETICAS O ARTIFICIALES;210369;2327219
LOS DEMAS CHAPAS Y TIRAS DE ALEACIONES DE ALUMINIO,DE ESPESOR SUPERIOR A O.2 mm;210309;1895866
LAS DEMAS PREMEZCLAS DE PREPARACIONES DEL TIPO DE LAS UTILIZADAS PARA LA ALIMENTACION DE LOS ANIMALES;209242;2878211
LOS DEMAS VEHICULOS PARA EL TRANSPORTE;209080;7380420
NEUMATICOS (LLANTAS NEUMATICAS) NUEVOS DE CAUCHO,DEL TIPO DE LOS UTILIZADOS EN BICICLETAS;208844;1265085
LAS DEMAS PARTES DE TRANSMISIONES CARDANICAS DE VEHICULOS AUTOMOVILES DE LAS PARTIDAS Nos 87.01 A 87.05;208115;5481121
LAS DEMAS PLACAS,LAMINAS,HOJAS Y TIRAS,DE POLIMEROS DE ETILENO,NO CELULAR Y SIN REFUERZO,ESTRATIFICACION NI SOPORTE;208100;3883892
BEBIDAS ENERGIZANTES, INCLUSO GASEADAS;206280;1038193
LOS DEMAS SISTEMAS DE SUSPENSION Y SUS PARTES (INCLUIDOS LOS AMORTIGUADORES);205940;4379845
LIBROS REGISTRO,LIBROS DE CONTABILIDAD,TALONARIOS (DE NOTAS,DE PEDIDOS O RECIBOS),BLOQUES MEMORANDOS,BLOQUES DE PAPEL DE CARTA,AGENDAS Y ARTICULOS SIMILARES,DE PAPEL O CARTON;205910;2921504
CORTAPAPELES,ABRECARTAS,RASPADORES,SACAPUNTAS Y SUS CUCHILLAS;205718;4106620
GATOS ELEVADORES FIJOS PARA VEHICULOS AUTOMOVILES,DEL TIPO DE LOS UTILIZADOS EN TALLERES;204965;2562201
LOS DEMAS ARTICULOS DE GRIFERIA: LAS DEMAS VALVULAS DE COMPUERTA;204094;4086819
DRAGAS;202781;1783460
LOS DEMAS  APARATOS RECEPTORES DE TELEVISIÓN, INCLUSO CON APARATO RECEPTOR DE RADIODIFUSIÓN OGRABACIÓN O REPRODUCCIÓN DE SONIDO O IMAGEN INCORPORADO;202780;2789425
GRUPOS ELECTROGENOS CON MOTOR DE EMBOLO(PISTON) DE ENCENDIDO POR COMPRESION DE POTENCIA  INFERIOR O IGUAL A 75 KVA DE CORRIENTE ALTERNA;202188;9220116
"APARATOS DE MECANOTERAPIA;APARATOS PARA MASAJES;APARATOS DE SICOTECNIA";201815;5972171
"ARTICULOS DE USO DOMESTICO: LANA DE HIERRO O DE ACERO;ESPONJAS,ESTROPAJOS,GUANTES Y ARTICULOS SIMILARES PARA FREGAR,LUSTRAR O USOS ANALOGOS,DE HIERRO O ACERO";201132;1547822
LOS DEMAS CONDUCTORES ELECTRICOS PARA UNA TENSION INFERIOR O IGUAL A 1000 V: PROVISTOS DE PIEZAS DE CONEXION;200841;7025297
CUADROS,PANELES,CONSOLAS,ARMARIOS Y DEMAS SOPORTES DE LA PARTIDA No 85.37,SIN SUS APARATOS;200650;7274948
LOS DEMAS GRUPOS ELECTROGENOS CON MOTOR DE EMBOLO (PISTON) DE ENCENDIDO POR CHISPA (MOTOR DE EXPLOSIÓN);200310;5085097
PUENTES Y SUS PARTES,DE FUNDICION,HIERRO O ACERO;199537;8764790
RESINAS FENOLICAS;199359;2377927
MANTAS DE FIBRAS SINTETICAS (EXCEPTO LAS ELECTRICAS);199067;2592626
LOS DEMAS COMPUESTOS CUYA ESTRUCTURA CONTENGA UN CICLO TRIAZINA (INCLUSO HIDROGENADO),SIN CONDENSAR: MELAMINA;198845;2171797
MAQUINAS DE COSER AUTOMATICAS;198395;3803460
LAS DEMAS MANUFACTURAS DE CAUCHO VULCANIZADO SIN ENDURECER;198034;4385386
CUCHILLAS Y HOJAS CORTANTES PARA MAQUINAS O MECANICOS,PARA TRABAJAR METAL;198031;1544178
LAS DEMAS  PLACAS, LAMINAS, HOJAS, CINTAS, TIRAS Y DEMAS  FORMAS PLANAS AUTOADHESIVAS DE POLIMEROS DE ETILENO INCLUSO EN ROLLOS;198018;2587661
TELAS IMPREGNADOS RECUBIERTAS,REVESTIDAS O ESTRATIFICADAS CON POLIURETANO,(EXCEPTO LAS DE LA PARTIDA No 59.02);197409;2326371
VALVULAS DE ALIVIO O DE SEGURIDAD;196437;13264889
LOS DEMAS TEJIDOS DE PUNTO. DE ALGODON:  TE?IDOS;196158;4223573
NEUMATICOS (LLANTAS NEUMATICAS) NUEVOS DE CAUCHO, DE LOS TIPOS UTILIZADOS EN VEHICULOS Y MAQUINAS AGRICOLAS O FORESTALES, CON ALTOS RELIEVES EN FORMA DE TACO, ANGULO O SIMILARES;196083;2814507
LAS DEMAS MADERAS CONTRACHAPADAS, MADERA CHAPADA Y MADERA ESTRATIFICADA SIMILAR , QUE TENGAN, POR LO MENOS, UNA HOJA EXTERNA DE MADERA DISTINTA DE LA DE CONIFERAS, DE LAS ESPECIES: ALISO (ALNUS SPP.),;195591;1017432
LAS DEMAS PARTES DE ANTENAS Y REFLECTORES DE ANTENA DE CUALQUIER TIPO;195261;5828666
LOS DEMAS PRODUCTOS LAMINADOS PLANOS DE HIERRO O ACERO SIN ALEAR DE ESPESOR SUPERIOR O IGUAL A 4,75 MM PERO INFERIOR O IGUAL A 10MM;195190;656361
LOS DEMAS TEJIDOS CON UN CONTENIDO DE FILAMENTOS DE NAILON O DEMAS POLIAMIDAS SUP.O IGUAL AL 85% EN PESO,ESTAMPADOS;195021;2270181
LOS DEMAS ASIENTOS,CON ARMAZON DE MADERA TAPIZADOS,CON RELLENO;194169;4597190
CAMPANAS ASPIRANTES EN LAS QUE EL MAYOR LADO HORIZONTAL SEA INFERIOR O IGUAL A 120 CM;193992;6091971
MECANISMOS PARA ENCUADERNACION DE HOJAS INTERCAMBIABLES O PARA CLASIFICADORES;193822;2783454
LAS DEMAS,BISUTERIAS;192447;3834226
MAQUINAS Y APARATOS PARA PREPARAR ALIMENTOS O PIENSOS PARA ANIMALES;192366;6115077
LAMPARAS Y TUBOS DE DESCARGA, FLUORESCENTES, DE CATODO CALIENTE TUBULARES RECTOS;191668;1939429
LOS DEMAS APARATOS PARA CORTE,SECCIONAMIENTO,PROTECCION,DERIVACION,EMPALME O CONEXION DE CIRCUITOS ELECTRICOS,PARA UNA TENSION INFERIOR O IGUAL A 1000 VOLTIOS;191473;14182255
GRUPOS ELECTROGENOS CON MOTOR DE EMBOLO DE ENCENDIDO POR COMPRESION (MOTORES DIESEL O SEMIDIESEL) DE CORRIENTE ALTERNA,DE POTENCIA SUP. A 75 KVA PERO INF. O IGUAL 375 KVA;191106;12488566
AMPLIFICADORES ELECTRICOS DE AUDIOFRECUENCIA;190886;6083546
TELA SIN TEJER DE FILAMENTOS SINTETICOS O ARTIFICIALES DE PESO SUP.A 70 g/m2 PERO INFERIOR O IGUAL A 150 g/m2;189902;1860503
BENZOATO DE SODIO;189875;1764419
"CONVERTIDORES ESTATICOS:UNIDADES DE ALIMENTACION ESTABILIZADA (""UPS"")";188745;14332226
"LAS DEMAS ESCOBAS,CEPILLOS Y BROCHAS,AUNQUE SEAN PARTES DE MAQUINAS,APARATOS O VEHICULOS,ESCOBAS MECANICAS DE USO MANUAL,EXCEPTO LAS DE MOTOR,PINCELES Y PLUMEROS;RASQUETAS DE CAUCHO O MATERIA FLEXIBLE";188653;2750324
LOS DEMAS,CIERRES,MONTURAS CIERRE,HEBILLAS,HEBILLAS CIERRE,CUENTAS Y LENTEJUELAS Y DEMAS ARTICULOS SIMILARES,DE METAL COMUN;188353;1508104
LAS DEMAS BEBIDAS NO ALCOHOLICAS;188249;848684
LOS DEMAS POLIFOSFATOS;187584;1704697
LOS DEMAS PULVERIZADORES Y ESPOLVOREADORES;186935;4500763
LAS DEMAS MAQUINAS Y APARATOS,AUTOPROPULSADOS,SOBRE NEUMATICOS;186933;6729494
"LAS DEMAS GRUAS,APARATOS DE ELEVACION SOBRE CABLE AEREO,PUENTES RODANTES,PORTICOS DE DESCARGA O MANIPULACION,PUENTES GRUA,CARRETILLAS PUENTE Y CARRETILLAS GRUA;AUTOPROPULSADOS";185693;4349110
LOS DEMAS ARTICULOS PARA EL TRANSPORTE O ENVASADO DE PLASTICO:TAPONES,TAPAS,CAPSULAS Y DEMAS DISPOSITIVOS DE CIERRE,DE PLASTICO;185599;4874703
PREPARACIONES PARA LA HIGIENE BUCAL O DENTAL: DENTIFRICOS;185571;2564259
LOS DEMAS  HILO DE COSER DE FIBRAS SINT+TICAS DISCONTINUAS;184766;1531425
HERRAMIENTAS Y JUEGOS DE HERRAMIENTAS DE MANICURA O DE PEDICURO (INCLUIDAS LAS LIMAS PARA UÑAS);184758;2440754
PREPARACIONES DE BELLEZA: PARA EL MAQUILLAJE DE LOS OJOS;183063;4927188
LANA DE ESCORIA,DE ROCA Y LANAS MINERALES SIMILARES,INCLUSO MEZCLADAS ENTRE SI,EN MASAS,HOJAS O ENROLLADAS;183052;1127918
LAS DEMAS HERRAMIENTAS DE MANO DE USO DOMESTICO;182716;2698944
LOS DEMAS CALZADOS;182651;6550661
LOS DEMAS TEJIDOS DE FIBRAS SINTETICAS DISCONTINUAS DE POLIESTER MEZCLADOS EXCLUSIVA O PRINCIPALMENTE CON FILAMENTOS SINTETICOS O ARTIFICIALES;182583;2665178
LOS DEMAS MOTORES DE CORRIENTE ALTERNA,MONOFASICOS DE POTENCIA INFERIOR O IGUAL A 375 W;182134;1595144
"LAS DEMAS MANUFACTURAS DE FIBRA DE VIDRIO: VELOS,NAPAS,""MATS"",COLCHONES,PANELES Y PRODUCTOS SIMILARES SIN TEJER";181842;1632326
"FLORES,FOLLAJE Y FRUTOS,ARTIFICIALES Y SUS PARTES;ARTICULOS CONFECCIONADOS CON FLORES,FOLLAJE O FRUTOS,ARTIFICIALES DE LAS DEMAS MATERIAS";181777;2450319
HILADOS DE FILAMENTOS SINTETICOS, ACONDICIONADOS PARA LA VENTA AL POR MENOR;181710;1194347
LOS DEMAS NEUMATICOS (LLANTAS NEUMATICAS) NUEVOS DE CAUCHO, DE LOS TIPOS UTILIZADOS EN VEHICULOS Y MAQUINAS PARA LA CONSTRUCCION, MINERIA O MANTENIMIENTO INDUSTRIAL;181650;2223926
PEINES,PEINETAS,PASADORES Y ARTICULOS SIMILARES DE CAUCHO ENDURECIDO O PLASTICO;181428;2545541
LLANTAS (AROS);180612;1646727
"HOJAS DE TOPADORAS FRONTALES (""BULLDOZERS"") O DE TOPADORAS ANGULARES (""ANGLEDOZERS"")";180435;2415883
MAQUINAS Y APARATOS DE CHORRO DE ARENA O DE VAPOR Y APARATOS DE CHORRO SIMILARES;179578;4669199
LA DEMAS BISUTERIA DE METAL COMUN,INCLUSO PLATEADO,DORADO O PLATINADO;179470;3657869
PLACAS Y HOJAS,SIN ARMAR DE VIDRIO COLADO O LAMINADO,ESTRIADAS,ONDULADAS,ESTAMPADAS O SIMILARES;179432;429878
HIPOCLORITO DE CALCIO COMERCIAL Y DEMAS HIPOCLORITOS DE CALCIO;179071;1633145
GLUCONATO DE SODIO;178764;828665
"LAS DEMAS MATERIAS COLORANTES ORGANICAS SINTET.,AUNQUE SEAN DE CONSTIT.QUIM.DEFINIDA;PREPARACIONES A QUE SE REFIERE LA NOTA 3 DE ESTE CAP.A BASE DE MATERIAS COLORANTES ORGANICAS SINTETICAS";177133;1511021
APARATOS DE FOTOCOPIA POR SISTEMA OPTICO, DE CONTACTO O TERMOCOPIA;176994;3101409
APARATOS Y ARTICULOS PARA USOS QUIMICOS O DEMAS USOS TECNICOS CON UNA DUREZA EQUIVALENTE A 9 O SUPERIOR EN LA ESCALA DE MOHS;176695;1512139
LAS DEMAS BOMBAS CENTRIFUGAS MONOCELULARES;176597;3469771
LAS DEMAS JERINGAS,AGUJAS,CATETERES,CANULOS O INSTRUMENTOS SIMILARES;176393;6232112
ISOPROPILXANTATO DE SODIO (ISO);175876;1862273
LOS DEMAS ABONOS MINERALES O QUIMICOS CON LOS DOS ELEMENTOS FERTILIZANTES:NITROGENO Y POTASIO;175700;1015646
LOS DEMAS BALONES Y PELOTAS,EXCEPTO LAS DE GOLF O TENIS DE MESA;175139;2095840
PLACAS Y HOJAS,SIN ARMAR DE VIDRIO COLADO O LAMINADO,COLOREADAS EN LA MASA,OPACIFICADAS,CHAPADAS O CON CAPA ABSORBENTE,REFLECTANTE O ANTIRREFLECTANTE,LISAS;175042;574968
LAS DEMAS REJILLAS DELANTERAS (PERSIANAS,PARRILLAS) DE VEHICULOS AUTOMOVILES DE LAS PARTIDAS Nos 87.01 A 87.05;175016;2606194
"LOS DEMAS BOJES,""BISSELS"",EJES Y RUEDAS,Y SUS PARTES";174224;3427055
LOS DEMAS ENVASES TUBULARES,AMPOLLAS Y DEMAS RECIPIENTES PARA EL TRANSPORTE O ENVASADO,DE VIDRIO,DE CAPACIDAD INFERIOR O IGUAL A 0,15 L.;171857;1908704
TEJIDOS DE GASA DE VUELTA, DE LAS DEMAS MATERIAS TEXTILES, EXCEPTO LOS PRODUCTOS DE LA PARTIDA 58.06;170795;4398481
ARTICULOS DE USO DOMESTICO DE FUNDICIÓN ESMALTADOS;170507;1224978
"LAS DEMAS PREPARACIONES AGLUTINANTES PARA MOLDES O NUCLEOS  DE FUNDICION; PRODUCTOS QUIMICOS Y PREPARACIONES DE LA INDUSTRIA QUIMICA O DE LAS INDUSTRIAS CONEXAS, NO EXPRESADAOS NI COMPRENDIDOS EN OTRA";170060;2240473
LOS DEMAS TUBOS RIGIDOS DE POLIMEROS DE ETILENO;170012;1914590
APARATOS DE RECEPCION DE TELEVISION SATELITAL (DECODIFICADORES);169462;34571373
LOS DEMAS APARATOS COMBINADOS CON GRABADOR O REPRODUCTOR DE SONIDO,QUE FUNCIONEN SIN FUENTE DE ENERGIA EXTERIOR;168455;2775239
ACCESORIOS DE TUBERIA (EJ: JUNTAS,CODOS,EMPALMES(RACORES)),DE PLASTICO;168341;4827262
LAS DEMAS TURBINAS DE GAS DE POTENCIA SUPERIOR A 5000 KW;168085;11748651
LAS DEMAS PARTES DE APARATOS DE ALUMBRADO,ANUNCIOS,LETREROS Y PLACAS INDICADORAS LUMINOSOS Y ARTICULOS SIMILARES,CON FUENTE DE LUZ INSEPARABLE;167461;4037740
VEHICULOS AUTOMOVILES DE CILINDRADA INFERIOR O IGUAL A 1.000 CM3, UNICAMENTE CON MOTOR DE EMBOLO (PISTON) ALTERNATIVO, DE ENCENDIDO POR CHISPA;166853;6278001
ESTUCHES DE DIBUJO (CAJAS DE MATEMATICAS) Y SUS COMPONENTES PRESENTADOS AISLADAMENTE;166746;3614716
LAS DEMAS MADERAS CONTRACHAPADAS, MADERA CHAPADA Y MADERA ESTRATIFICADA SIMILAR, QUE TENGAN, POR LO MENOS, UNA HOJA EXTERNA DE MADERA DISTINTA DE LA DE CONIFERAS, NO ESPECIFICADAS EN LA SUBPARTIDA 441;166200;1046397
LOS DEMAS ARTICULOS DE BOLSILLO O DE BOLSOS DE MANO,DE CUERO NATURAL,REGENERADO,HOJAS DE PLASTICO,MATERIA TEXTIL,FIBRA VULCANIZADA O CARTON;165297;3279498
PIGMENTOS Y PRAPARACIONES CON UN CONTENIDO DE DIOXIDO DE TITANIO SUPERIOR O IGUAL AL 80% EN PESO,CALCULADO SOBRE MATERIA SECA;164486;3092100
LOS DEMAS PARAGUAS,SOMBRILLAS Y QUITASOLES (INCLUIDOS LOS PARAGUAS BASTON,LOS QUITASOLES TOLDO Y ARTICULOS SIMILARES),CON ASTIL O MANGO TELESCOPICO;164287;1924608
GRAPAS EN TIRAS (EJ: DE OFICINA,TAPICERIA O ENVASE),DE METAL COMUN;163668;1832648
ENCAJES FABRICADOS A MAQUINA,DE FIBRAS SINTETICAS O ARTIFICIALES;162896;2897436
MAQUINAS DE CORTAR EL PELO,CON MOTOR ELECTRICO INCORPORADO;162290;2881594
APARATOS ELECTROTERMICOS: SECADORES PARA EL CABELLO;161237;6314197
SACOS(BOLSAS),BOLSITAS Y CUCURUCHOS,DE POLIMEROS DE ETILENO;161116;1970729
PARTES DE LOS DEMAS MUEBLES;161090;3094237
HILO DE COSER DE FILAMENTOS SINTETICOS,INCLUSO ACONDICIONADO PARA LA VENTA AL POR MENOR;160880;1537532
LAS DEMAS GLUCOSA Y JARABE DE GLUCOSA,SIN FRUCTOSA O CON UN CONTENIDO DE FRUCTOSA,EN ESTADO SECO,INFERIOR AL 20 % EN PESO;160127;715568
LOS DEMAS ACCESORIOS DE TUBERIA DE FUNDICION,HIERRO O ACERO INOXIDABLE;159982;4839749
MANDO A DISTANCIA (CONTRO REMOTO);159816;5850800
ALAMBRE DE ACERO SILICOMANGANESO;159343;1524166
LAS DEMAS MANUFACTURAS DE CAUCHO VULCANIZADO SIN ENDURECER: REVESTIMIENTOS PARA EL SUELO Y ALFOMBRAS;159320;1627485
"LAS DEMAS MEZCLAS BITUMINOSAS A BASE DE ASFALTO O DE BETUN NATURALES,DE BETUN DE PETROLEO,DE ALQUITRAN MINERAL O DE BREA DE ALQUITRAN MINERAL (POR EJ: MASTIQUES BITUMINOSOS,""CUT BACKS"")";159088;1602412
LAS DEMAS MAQUINAS Y APARATOS CON EQUIPO DE ENFRIAMIENTO Y VALVULA DE INVERSION DEL CICLO TERMICO;158860;6846876
PREPARACIONES DE BELLEZA: PARA MANICURAS O PEDICUROS;158806;2340044
LOS DEMAS MOTORES DE EMBOLO (PISTON)ALTERNATIVO O ROTATIVO DE ENCENDIDO POR CHISPA (MOTORES DE EXPLOSION);158230;5623430
LOS DEMAS REMOLQUES Y SEMIRREMOLQUES PARA TRANSPORTE DE MERCANCIAS;157760;2133858
CERRADURAS DEL TIPO DE LAS UTILIZADAS EN MUEBLES,DE METAL COMUN;157453;1783994
LOS DEMAS DISPOSITIVOS SEMICONDUCTORES FOTOSENSIBLES,INCLUIDAS LAS CELULAS FOTOVOLTAICAS,AUNQUE ESTEN ENSAMBLADAS EN MODULOS O PANELES,DIODOS EMISORES DE LUZ;157094;7800348
ESTERES DEL ACIDO ACETICO: ACETATO DE N-BUTILO;156313;1348711
LAS DEMAS MaQUINAS  Y APARATOS  DE MEZCLAR, AMAZAR O SOBAR TIERRA, PIEDRA U OTRA MATERIA MINERAL SOLIDA;156261;6535989
LAS DEMAS,PARTES IDENTIFICABLES COMO DESTINADAS EXCLUSIVA O PRINCIPALMENTE,A LOS APARATOS DE LAS PARTIDAS Nos 85.35, 85.36 U 85.37;154996;6339570
LAS DEMAS MAQUINAS DE ENROLLAR, CURVAR, PLEGAR, ENDEREZAR O APLANAR;154627;2498685
"LOS DEMAS MONOFILAMENTOS SINTETICOS DE TITULO SUPERIOR O IGUAL A 67 DECITEX Y CUYA MAYOR DIMENSION DE LA SECCION TRANSVERSAL SEA INFERIOR O IGUAL A 1MM; TIRAS Y FORMAS SIMILARES";154529;1868244
HERRAMIENTAS NEUMATICAS,ROTATIVAS (INCLUSO DE PERCUSION): TALADRADORES,PERFORADORAS Y SIMILARES;154272;6546237
PUENTES (INCLUIDAS LAS VIGAS) RODANTES,CON SOPORTE FIJO;153251;2078750
PARTES DE EJES CON DIFERENCIAL, INCLUSO PROVISTOS CON OTROS ORGANOS DE TRANSMISION;152470;4136697
LAS DEMAS,PLACAS,HOJAS Y TIRAS,COMBINADAS CON OTRAS MATERIAS DE CAUCHO NO CELULAR;152380;969608
LOS DEMAS PALITOS Y CUCHARITAS PLANAS, DEL TIPO DE LOS UTILIZADOS PARA DULCES Y HELADOS;152227;2205107
SALES Y ESTERES DEL ACIDO CITRICO: CITRATO DE SODIO;151523;967791
LOS DEMAS ARTICULOS DE HIGIENE O TOCADOR Y SUS PARTES,DE FUNDICION,HIERRO O ACERO;151436;2857011
LAS DEMAS LAMPARAS Y TUBOS DE DESCARGA, FLUORESCENTES, DE CATODO CALIENTE;150810;2088579
MAQUINAS DE MOLDEAR POR SOPLADO,PARA TRABAJAR CAUCHO O PLASTICO O PARA FABRICAR PRODUCTOS DE ESTAS MATERIAS;150137;8059340
LAS DEMAS VIBRADORAS DE HORMIGON,NEUMATICAS;148904;1837481
LAS DEMAS ESTATUILLAS Y DEMAS ARTICULOS DE ADORNO,DE METAL COMUN;148854;1803020
LOS DEMAS NEUMATICOS (LLANTAS NEUMATICAS) NUEVOS DE CAUCHO, DE LOS TIPOS UTILIZADOS EN VEHICULOS Y MAQUINAS AGRICOLAS O FORESTALES;148326;1349719
LAS DEMAS PARTES DE MICROFONOS Y SUS SOPORTES;148229;2292190
LOS DEMAS ENVASES TUBULARES,AMPOLLAS Y DEMAS RECIPIENTES PARA EL TRANSPORTE O ENVASADO,DE VIDRIO,DE CAPACIDAD SUPERIOR A 0,33 L.PERO INFERIOR O IGUAL A 1 L.;148137;919946
MOTORES DE EMBOLO ALTERNATIVO DEL TIPO DE LOS UTILIZADOS PARA LA PROPULSION DE VEHICULOS DEL CAPITULO 87,DE CILINDRADA SUPERIOR A 50 CM3,PERO INFERIOR O IGUAL A 250 CM3;147963;2755341
LOS DEMAS PRODUCTOS LAMINADOS DE HIERRO DE ACERO SIN ALEAR,DE ANCHURA INFERIOR A 600 mm,SIN CHAPAR NI REVESTIR,SIMPLEMENTE LAMINADOS EN FRIO;147927;783671
CINTOS,CINTURONES Y BANDOLERAS DE CUERO NATURAL O CUERO REGENERADO;147577;1760454
LOS DEMAS CONDUCTORES ELECTRICOS PARA UNA TENSION INFERIOR O IGUAL A 1000 V: PROVISTOS DE PIEZAS DE CONEXION, DE TELECOMUNICACION;147545;4191454
LOS DEMAS ARTICULOS DE GRIFERIA: VALVULAS ESFERICAS;147402;8390665
TIOCOMPUESTOS ORGANICOS: METIONINA;147144;2724096
LOS DEMAS INSTRUMENTOS DE DIBUJO,TRAZADO O CALCULO: REGLAS CIRCULOS Y CILINDROS DE CALCULO;146778;1653415
LOS DEMAS PRODUCTOS LAMINADOS PLANOS DE HIERRO O ACERO SIN ALEAR DE ESPESOR SUPERIOR O IGUAL A 3 MM PERO INFERIOR  A 4,75 MM;146620;497122
LAS DEMAS HORMIGONERAS Y APARATOS DE AMASAR MORTERO;146446;3403436
LOS DEMAS INSTRUMENTOS Y APARATOS DE MEDICINA,CIRUGIA,ODONTOLOGIA O VETERINARIA, INCLUIDOS LOS DE CENTELLOGRAFIA Y DEMAS APARATOS ELECTROMEDICOS,ASI COMO LOS APARATOS PARA PRUEBAS VISUALES;145975;14781795
ARTICULOS DE BOLSILLO O DE BOLSOS DE MANO,CON LA SUPERFICIE EXTERIOR DE CUERO NATURAL,CUERO REGENERADO O CUERO CHAROLADO;145519;2349456
LOS DEMAS INTERRUPTORES,SECCIONADORES Y CONMUTADORES PARA UNA TENSION INFERIOR O IGUAL A 260 V E INTENSIDAD INFERIOR O IGUAL A 30 A;145472;3712400
ACIDO SORBICO Y SUS SALES;145342;3166578
LOS DEMAS COMPRESORES DEL TIPO DE LOS UTILIZADOS EN LOS EQUIPOS FRIGORIFICOS;145324;2812934
"PINCELES Y BROCHAS PARA PINTAR,ENLUCIR,BARNIZAR O SIMILARES (EXCEPTO LOS PINCELES DE LA SUBPARTIDA 9603.30);ALMOHADILLAS Y RODILLOS PARA PINTAR";145252;3203612
LAS DEMAS MEZCLAS Y MANUFACTURAS DE MATERIAS MINERALES PARA AISLAMIENTO TERMICO O ACUSTICO O PARA LA OBSORCION DEL SONIDO (EXCEPTO LAS DE LAS PARTIDAS No 68.11,68.12 O DEL CAP.69);145211;1034278
LAS DEMAS PINTURAS Y BARNICES A BASE DE POLIMEROS SINTETICOS O NATURALES MODIFICADOS,DISPERSOS O DISUELTOS EN UN MEDIO NO ACUOSO,DISOLUCIONES DEFINIDAS EN LA NOTA 4 DE ESTE CAPITULO;144859;1623302
MUEBLES DE METAL DEL TIPO DE LOS UTILIZADOS EN OFICINAS;144542;1930940
PREPARACIONES DE BELLEZA: PARA EL MAQUILLAJE DE LOS LABIOS;144246;3442741
LOS DEMAS MOLDES PARA MOLDEO POR INYECCION O COMPRESION;143971;9714780
LOS DEMAS RELOJES DE PARED;143841;1544973
MOTOCULTORES;143715;5525503
LAS DEMAS GUARNICIONES,HERRAJES Y ARTICULOS SIMILARES,PARA EDIFICIOS,DE METAL COMUN;143506;2543894
ROPA DE TOCADOR O DE COCINA,DE TEJIDO CON BUCLES DEL TIPO PARA TOALLA,DE ALGODON;143278;2534885
TECLADOS,DISPOSITIVOS POR COORDENADAS X-Y;143109;5191548
CAMARAS DE CAUCHO PARA NEUMATICOS,DEL TIPO DE LAS UTILIZADAS EN BICICLETAS;142606;944456
LAS DEMAS MAQUINAS HERRAMIENTA PARA TRABAJAR PIEDRA,CERAMICA,HORMIGON,AMIANTO-CEMENTO O MATERIAS MINERALES SIMILARES,O PARA TRABAJAR EL VIDRIO EN FRIO;142261;4052368
LAS DEMAS MANUFACTURAS DE VIDRIO;141935;3621076
NAIPES;141650;889010
